Date;Open;High;Low;Close*;Adj Close**;Volume
Sep 27, 2005;10,444.58;10,608.56;10,415.62;10,535.48;10,535.48;11,610,700
Sep 20, 2005;10,558.19;10,604.76;10,350.96;10,443.63;10,443.63;12,383,800
Sep 13, 2005;10,673.71;10,674.03;10,520.93;10,557.63;10,557.63;14,537,900
Sep 06, 2005;10,447.69;10,701.81;10,447.69;10,682.94;10,682.94;11,317,800
Aug 30, 2005;10,461.54;10,513.76;10,350.00;10,447.37;10,447.37;9,993,300
Aug 23, 2005;10,571.01;10,577.46;10,349.37;10,463.05;10,463.05;10,504,800
Aug 16, 2005;10,631.59;10,641.15;10,503.37;10,569.89;10,569.89;11,168,600
Aug 09, 2005;10,537.65;10,719.41;10,537.65;10,634.38;10,634.38;10,923,600
Aug 02, 2005;10,623.79;10,699.19;10,524.91;10,536.93;10,536.93;11,140,600
Jul 26, 2005;10,597.60;10,717.73;10,572.92;10,623.15;10,623.15;10,618,500
Jul 19, 2005;10,576.90;10,700.06;10,576.90;10,596.48;10,596.48;13,340,600
Jul 12, 2005;10,519.49;10,657.69;10,483.20;10,574.99;10,574.99;11,638,300
Jul 05, 2005;10,303.13;10,534.22;10,175.40;10,519.72;10,519.72;12,228,700
Jun 28, 2005;10,291.01;10,433.79;10,267.22;10,303.44;10,303.44;9,710,900
Jun 21, 2005;10,608.88;10,646.24;10,253.49;10,290.78;10,290.78;12,548,300
Jun 14, 2005;10,521.95;10,656.29;10,495.39;10,609.11;10,609.11;11,771,100
Jun 07, 2005;10,466.00;10,589.16;10,443.31;10,522.56;10,522.56;10,423,400
May 31, 2005;10,541.89;10,586.37;10,430.97;10,467.03;10,467.03;10,535,200
May 24, 2005;10,522.68;10,552.01;10,426.39;10,542.55;10,542.55;7,553,200
May 17, 2005;10,247.49;10,560.81;10,213.14;10,523.56;10,523.56;12,075,900
May 10, 2005;10,382.94;10,382.94;10,075.55;10,252.29;10,252.29;11,752,800
May 03, 2005;10,251.04;10,405.77;10,208.03;10,384.34;10,384.34;12,244,200
